Health Issue,Specialty
My child has frequent ear infections,Pediatrics/Otolaryngology
I have trouble swallowing,Gastroenterology
My stool is black and tarry,Gastroenterology
I get frequent leg cramps,Neurology
My heartbeat feels irregular,Cardiology
I have blood in my stool,Gastroenterology
My baby has colic,Pediatrics
I have mood swings and irritability,Psychiatry
I have a persistent fever,Infectious Disease
I feel pain in my pelvic area,Obstetrics & Gynecology
I get frequent urinary tract infections,Urology
I get frequent urinary tract infections,Urology
My skin is very dry and itchy,Dermatology
My baby has trouble breathing,Pediatrics
I have dark spots in my vision,Ophthalmology
I have excessive sweating,Endocrinology
I have dark spots in my vision,Ophthalmology
I have unexplained weight loss,Oncology
My periods are irregular,Obstetrics & Gynecology
My joints hurt and feel stiff,Rheumatology
My baby has colic,Pediatrics
I see flashes of light or floaters,Ophthalmology
My vision is getting blurry,Ophthalmology
My back hurts when I stand,Orthopedics
I'm feeling hopeless and depressed,Psychiatry
My eyes are red and itchy,Ophthalmology
I have a persistent fever,Infectious Disease
My breath smells bad even after brushing,Dentistry
I have dark spots in my vision,Ophthalmology
I have burning pain when I urinate,Urology
I have difficulty bending my knee,Orthopedics
I have high blood pressure,Cardiology
I have frequent nosebleeds,Otolaryngology
My baby is refusing to eat,Pediatrics
I have swelling in my legs,Cardiology
My nails are brittle and weak,Dermatology
I have severe menstrual cramps,Obstetrics & Gynecology
I have trouble emptying my bladder,Urology
I have chronic stomach pain,Gastroenterology
My knee hurts when I walk,Orthopedics
I'm feeling hopeless and depressed,Psychiatry
I feel shaky when I don't eat,Endocrinology
I have chronic constipation,Gastroenterology
I have constant fatigue and weakness,Endocrinology
I wake up frequently to urinate at night,Urology
My periods are irregular,Obstetrics & Gynecology
I have trouble breathing at night,Pulmonology
I see flashes of light or floaters,Ophthalmology
I have burning pain when I urinate,Urology
I feel extremely anxious all the time,Psychiatry
My heart beats too fast,Cardiology
I have blood in my stool,Gastroenterology
I get frequent leg cramps,Neurology
I feel bloated after eating,Gastroenterology
I have trouble swallowing,Gastroenterology
My hands are swollen and painful,Rheumatology
I have frequent migraines,Neurology
I have blood in my stool,Gastroenterology
I feel dizzy and lightheaded,Neurology
I'm coughing up thick mucus,Pulmonology
My hands are always cold,Vascular Surgery
I have difficulty balancing,Neurology
I have mood swings and irritability,Psychiatry
My knee hurts when I walk,Orthopedics
I have difficulty balancing,Neurology
I get frequent infections,Immunology
My knee hurts when I walk,Orthopedics
My blood sugar levels are too high,Endocrinology
I feel short of breath,Pulmonology
My nails are brittle and weak,Dermatology
I have painful blisters on my skin,Dermatology
My periods are irregular,Obstetrics & Gynecology
I have dry and irritated eyes,Ophthalmology
I get frequent infections,Immunology
I have kidney stones,Urology
I have white patches in my mouth,Dentistry
I have sudden weakness on one side of my body,Neurology
I have a severe toothache,Dentistry
I'm coughing up thick mucus,Pulmonology
I'm losing hair rapidly,Dermatology
I have high blood pressure,Cardiology
I have excessive sweating,Endocrinology
My baby is refusing to eat,Pediatrics
I have white patches in my mouth,Dentistry
My joints hurt and feel stiff,Rheumatology
I have difficulty balancing,Neurology
I have difficulty balancing,Neurology
I have a severe toothache,Dentistry
I'm losing hair rapidly,Dermatology
I have sudden weight gain,Endocrinology
I have frequent acid reflux,Gastroenterology
My child has frequent ear infections,Pediatrics/Otolaryngology
My ankle is swollen and bruised,Orthopedics
I feel constant muscle pain,Rheumatology
My gums are bleeding,Dentistry
I have sudden weakness on one side of my body,Neurology
My stool is black and tarry,Gastroenterology
I have kidney stones,Urology
I wake up frequently to urinate at night,Urology
My heart beats too fast,Cardiology
I'm coughing up blood,Pulmonology
I have swelling in my legs,Cardiology
I have sudden weight gain,Endocrinology
I have difficulty concentrating,Neurology
I have swelling around my eyes,Ophthalmology
I have a persistent sore throat,Otolaryngology
I have sudden vision loss,Ophthalmology
My blood sugar levels are too high,Endocrinology
I have a chronic cough,Pulmonology
My skin is very dry and itchy,Dermatology
I feel constant muscle pain,Rheumatology
I get frequent leg cramps,Neurology
I feel pain in my jaw when chewing,Dentistry
I have chest pain,Cardiology
I'm pregnant and need prenatal care,Obstetrics & Gynecology
I have chronic stomach pain,Gastroenterology
I get frequent infections,Immunology
My heartbeat feels irregular,Cardiology
I feel short of breath,Pulmonology
My child has a fever and rash,Pediatrics
I have sudden weight gain,Endocrinology
I have frequent acid reflux,Gastroenterology
I have sudden weakness on one side of my body,Neurology
I have difficulty bending my knee,Orthopedics
My child has trouble sleeping,Pediatrics
I have frequent acid reflux,Gastroenterology
I have a weak grip,Neurology
I have blood in my stool,Gastroenterology
I have constant fatigue and weakness,Endocrinology
I have constant fatigue and weakness,Endocrinology
I have frequent nosebleeds,Otolaryngology
I have frequent nosebleeds,Otolaryngology
My baby has trouble breathing,Pediatrics
I see flashes of light or floaters,Ophthalmology
My nails are brittle and weak,Dermatology
My baby is refusing to eat,Pediatrics
I'm coughing up thick mucus,Pulmonology
My gums are bleeding,Dentistry
My child has a fever and rash,Pediatrics
I have trouble emptying my bladder,Urology
I feel constant muscle pain,Rheumatology
My skin is very dry and itchy,Dermatology
I have a severe toothache,Dentistry
My ankle is swollen and bruised,Orthopedics
I get frequent urinary tract infections,Urology
I have a persistent fever,Infectious Disease
My voice has changed,Otolaryngology
I'm going through menopause,Obstetrics & Gynecology
I have constant fatigue and weakness,Endocrinology
I broke my arm,Orthopedics
I have frequent nosebleeds,Otolaryngology
My breath smells bad even after brushing,Dentistry
I have frequent acid reflux,Gastroenterology
I feel a lump in my breast,Oncology
I have a weak grip,Neurology
My eyes are red and itchy,Ophthalmology
I have pain when moving my shoulder,Orthopedics
My hands are always cold,Vascular Surgery
I'm coughing up thick mucus,Pulmonology
I'm coughing up thick mucus,Pulmonology
I have excessive sweating,Endocrinology
My periods are irregular,Obstetrics & Gynecology
I have dry and irritated eyes,Ophthalmology
I have swelling around my eyes,Ophthalmology
My hands are swollen and painful,Rheumatology
My skin is very dry and itchy,Dermatology
I have trouble swallowing,Gastroenterology
My child has trouble sleeping,Pediatrics
I feel bloated after eating,Gastroenterology
I have chronic constipation,Gastroenterology
I feel pain in my pelvic area,Obstetrics & Gynecology
I have a severe toothache,Dentistry
I have frequent nosebleeds,Otolaryngology
I have sudden weight gain,Endocrinology
My baby is not gaining weight,Pediatrics
I have trouble emptying my bladder,Urology
I wake up frequently to urinate at night,Urology
I feel a lump in my breast,Oncology
I have chronic stomach pain,Gastroenterology
My breath smells bad even after brushing,Dentistry
I feel extremely anxious all the time,Psychiatry
My ankle is swollen and bruised,Orthopedics
My back hurts when I stand,Orthopedics
I have frequent acid reflux,Gastroenterology
I have white patches in my mouth,Dentistry
My skin is very dry and itchy,Dermatology
My heartbeat feels irregular,Cardiology
I get frequent infections,Immunology
My baby is refusing to eat,Pediatrics
I feel pain in my jaw when chewing,Dentistry
I have frequent acid reflux,Gastroenterology
My vision is getting blurry,Ophthalmology
I have swollen lymph nodes,Infectious Disease
I have dark spots in my vision,Ophthalmology
My stool is black and tarry,Gastroenterology
My voice has changed,Otolaryngology
I have persistent diarrhea,Gastroenterology
My breath smells bad even after brushing,Dentistry
I have sudden weakness on one side of my body,Neurology
I have constant fatigue and weakness,Endocrinology
My blood sugar levels are too high,Endocrinology
I feel pain in my pelvic area,Obstetrics & Gynecology
I have dark spots in my vision,Ophthalmology
I have high blood pressure,Cardiology
I feel pain in my jaw when chewing,Dentistry
My gums are bleeding,Dentistry
I have a weak grip,Neurology
I feel short of breath,Pulmonology
My hands are always cold,Vascular Surgery
I have difficulty bending my knee,Orthopedics
My hands are always cold,Vascular Surgery
My child has trouble focusing at school,Psychiatry/Pediatrics
I have frequent acid reflux,Gastroenterology
I have trouble swallowing,Gastroenterology
My joints hurt and feel stiff,Rheumatology
My voice has changed,Otolaryngology
I get frequent infections,Immunology
I twisted my ankle,Orthopedics
I have persistent diarrhea,Gastroenterology
I feel short of breath,Pulmonology
I have pain when moving my shoulder,Orthopedics
I have trouble breathing at night,Pulmonology
My voice has changed,Otolaryngology
I have unexplained weight loss,Oncology
I have difficulty bending my knee,Orthopedics
I have difficulty bending my knee,Orthopedics
My baby has colic,Pediatrics
I have a severe toothache,Dentistry
I have frequent migraines,Neurology
My hands are swollen and painful,Rheumatology
My child has trouble sleeping,Pediatrics
I have chronic stomach pain,Gastroenterology
My heartbeat feels irregular,Cardiology
I have sudden vision loss,Ophthalmology
I have chronic stomach pain,Gastroenterology
I broke my arm,Orthopedics
I feel pain in my jaw when chewing,Dentistry
My child has a fever and rash,Pediatrics
I feel bloated after eating,Gastroenterology
I get frequent infections,Immunology
I get frequent urinary tract infections,Urology
My child has trouble sleeping,Pediatrics
My back hurts when I stand,Orthopedics
I get frequent urinary tract infections,Urology
I have white patches in my mouth,Dentistry
I have severe menstrual cramps,Obstetrics & Gynecology
My gums are bleeding,Dentistry
I feel a lump in my breast,Oncology
I have a chronic cough,Pulmonology
I feel pain in my upper abdomen,Gastroenterology
I feel dizzy and lightheaded,Neurology
I have difficulty bending my knee,Orthopedics
I have chronic constipation,Gastroenterology
My voice has changed,Otolaryngology
I feel short of breath,Pulmonology
I have severe menstrual cramps,Obstetrics & Gynecology
My knee hurts when I walk,Orthopedics
I have a chronic cough,Pulmonology
I see flashes of light or floaters,Ophthalmology
I have white patches in my mouth,Dentistry
My eyes are red and itchy,Ophthalmology
I feel a lump in my breast,Oncology
My hands are always cold,Vascular Surgery
I'm struggling to get pregnant,Obstetrics & Gynecology
I wake up frequently to urinate at night,Urology
I have difficulty balancing,Neurology
I have difficulty concentrating,Neurology
My skin is very dry and itchy,Dermatology
I have difficulty concentrating,Neurology
I have trouble breathing at night,Pulmonology
I have pain when moving my shoulder,Orthopedics
I feel pain in my pelvic area,Obstetrics & Gynecology
I have persistent diarrhea,Gastroenterology
I feel a lump in my breast,Oncology
I have trouble emptying my bladder,Urology
My heart beats too fast,Cardiology
I feel pain in my jaw when chewing,Dentistry
My back hurts when I stand,Orthopedics
I have dark spots in my vision,Ophthalmology
I have a persistent fever,Infectious Disease
My periods are irregular,Obstetrics & Gynecology
I get frequent urinary tract infections,Urology
I have trouble emptying my bladder,Urology
My back hurts when I stand,Orthopedics
My nails are brittle and weak,Dermatology
I have a persistent fever,Infectious Disease
My child has a fever and rash,Pediatrics
I have painful blisters on my skin,Dermatology
My back hurts when I stand,Orthopedics
I'm losing hair rapidly,Dermatology
I have a severe toothache,Dentistry
I get frequent infections,Immunology
My skin is very dry and itchy,Dermatology
I'm going through menopause,Obstetrics & Gynecology
My baby has colic,Pediatrics
My stool is black and tarry,Gastroenterology
My hands are swollen and painful,Rheumatology
I have unexplained weight loss,Oncology
I twisted my ankle,Orthopedics
I have pain when moving my shoulder,Orthopedics
I feel a lump in my breast,Oncology
I have unexplained weight loss,Oncology
My blood sugar levels are too high,Endocrinology
I have difficulty concentrating,Neurology
I feel a lump in my breast,Oncology
I have a chronic cough,Pulmonology
My back hurts when I stand,Orthopedics
I feel short of breath,Pulmonology
I have swollen lymph nodes,Infectious Disease
I get frequent leg cramps,Neurology
My voice has changed,Otolaryngology
My knee hurts when I walk,Orthopedics
I broke my arm,Orthopedics
I broke my arm,Orthopedics
I have trouble swallowing,Gastroenterology
I have trouble breathing at night,Pulmonology
I feel a lump in my breast,Oncology
I have a weak grip,Neurology
I have trouble emptying my bladder,Urology
My hands are swollen and painful,Rheumatology
I feel bloated after eating,Gastroenterology
I have a weak grip,Neurology
I have frequent night sweats,Oncology
I have sudden weight gain,Endocrinology
My hands are tingling and numb,Neurology
I have mood swings and irritability,Psychiatry
I have trouble swallowing,Gastroenterology
I have a severe toothache,Dentistry
I have excessive sweating,Endocrinology
My hands are tingling and numb,Neurology
My hands are swollen and painful,Rheumatology
I see flashes of light or floaters,Ophthalmology
I have trouble breathing at night,Pulmonology
I have sudden vision loss,Ophthalmology
My breath smells bad even after brushing,Dentistry
I have dry and irritated eyes,Ophthalmology
I'm losing hair rapidly,Dermatology
I have constant fatigue and weakness,Endocrinology
My knee hurts when I walk,Orthopedics
I have dark spots in my vision,Ophthalmology
I broke my arm,Orthopedics
I feel a lump in my breast,Oncology
I have frequent night sweats,Oncology
My voice has changed,Otolaryngology
My voice has changed,Otolaryngology
I'm struggling to get pregnant,Obstetrics & Gynecology
I feel pain in my upper abdomen,Gastroenterology
I have difficulty balancing,Neurology
My heartbeat feels irregular,Cardiology
I get frequent infections,Immunology
My baby has trouble breathing,Pediatrics
I have a persistent fever,Infectious Disease
I have high blood pressure,Cardiology
My heart beats too fast,Cardiology
I have excessive sweating,Endocrinology
I have sudden weakness on one side of my body,Neurology
I have high blood pressure,Cardiology
I have a persistent fever,Infectious Disease
I'm struggling to get pregnant,Obstetrics & Gynecology
My breath smells bad even after brushing,Dentistry
I feel dizzy and lightheaded,Neurology
My heartbeat feels irregular,Cardiology
I'm pregnant and need prenatal care,Obstetrics & Gynecology
I have trouble swallowing,Gastroenterology
I twisted my ankle,Orthopedics
I'm going through menopause,Obstetrics & Gynecology
I feel constant muscle pain,Rheumatology
My vision is getting blurry,Ophthalmology
My joints hurt and feel stiff,Rheumatology
I have pain when moving my shoulder,Orthopedics
I broke my arm,Orthopedics
I have swelling around my eyes,Ophthalmology
I have mood swings and irritability,Psychiatry
I have frequent nosebleeds,Otolaryngology
I get frequent leg cramps,Neurology
I have a chronic cough,Pulmonology
I'm feeling hopeless and depressed,Psychiatry
My child has trouble sleeping,Pediatrics
I feel short of breath,Pulmonology
I feel bloated after eating,Gastroenterology
I have constant fatigue and weakness,Endocrinology
I have frequent acid reflux,Gastroenterology
My ankle is swollen and bruised,Orthopedics
My child has frequent ear infections,Pediatrics/Otolaryngology
My breath smells bad even after brushing,Dentistry
My baby is not gaining weight,Pediatrics
I have constant fatigue and weakness,Endocrinology
I have severe menstrual cramps,Obstetrics & Gynecology
I have painful blisters on my skin,Dermatology
My periods are irregular,Obstetrics & Gynecology
My knee hurts when I walk,Orthopedics
My breath smells bad even after brushing,Dentistry
My baby is refusing to eat,Pediatrics
I get frequent infections,Immunology
I have dry and irritated eyes,Ophthalmology
My joints hurt and feel stiff,Rheumatology
My gums are bleeding,Dentistry
My vision is getting blurry,Ophthalmology
I have frequent migraines,Neurology
I have mood swings and irritability,Psychiatry
I have a weak grip,Neurology
I have difficulty balancing,Neurology
I have trouble swallowing,Gastroenterology
I have mood swings and irritability,Psychiatry
My heartbeat feels irregular,Cardiology
My eyes are red and itchy,Ophthalmology
My ankle is swollen and bruised,Orthopedics
I have dark spots in my vision,Ophthalmology
I have a persistent fever,Infectious Disease
My breath smells bad even after brushing,Dentistry
My gums are bleeding,Dentistry
My voice has changed,Otolaryngology
My hands are always cold,Vascular Surgery
I feel short of breath,Pulmonology
I feel short of breath,Pulmonology
I have constant fatigue and weakness,Endocrinology
I have unexplained weight loss,Oncology
I have blood in my stool,Gastroenterology
I have a weak grip,Neurology
I have sudden vision loss,Ophthalmology
I have frequent nosebleeds,Otolaryngology
I broke my arm,Orthopedics
My baby has trouble breathing,Pediatrics
I have chronic stomach pain,Gastroenterology
I have chest pain,Cardiology
My heart beats too fast,Cardiology
My back hurts when I stand,Orthopedics
I have sudden weakness on one side of my body,Neurology
I have a persistent fever,Infectious Disease
My periods are irregular,Obstetrics & Gynecology
I have sudden weight gain,Endocrinology
I have a chronic cough,Pulmonology
I have frequent nosebleeds,Otolaryngology
I have sudden vision loss,Ophthalmology
I feel pain in my upper abdomen,Gastroenterology
I have frequent acid reflux,Gastroenterology
I have severe menstrual cramps,Obstetrics & Gynecology
I'm coughing up thick mucus,Pulmonology
I have painful blisters on my skin,Dermatology
I'm coughing up thick mucus,Pulmonology
I have pain when moving my shoulder,Orthopedics
I feel shaky when I don't eat,Endocrinology
My child has trouble sleeping,Pediatrics
I have severe menstrual cramps,Obstetrics & Gynecology
I feel bloated after eating,Gastroenterology
I feel pain in my upper abdomen,Gastroenterology
I get frequent urinary tract infections,Urology
My hands are tingling and numb,Neurology
My baby has trouble breathing,Pediatrics
I have frequent nosebleeds,Otolaryngology
I have unexplained weight loss,Oncology
I twisted my ankle,Orthopedics
I'm going through menopause,Obstetrics & Gynecology
My vision is getting blurry,Ophthalmology
I wake up frequently to urinate at night,Urology
